size,threads,search_k,build_time_s,build_qps,speedup,recall,query_latency_ms,query_qps
10000,1,1,0.6136416670051403,16296.155456334474,1.0,0.9300699300699301,0.03540848679549526,28241.81687784585
10000,1,5,0.6136416670051403,16296.155456334474,1.0,0.939622641509434,0.03557097679295112,28112.806848704924
10000,1,10,0.6136416670051403,16296.155456334474,1.0,0.9531568228105907,0.036007710103876885,27771.82989740666
10000,1,20,0.6136416670051403,16296.155456334474,1.0,0.9489795918367347,0.03676408483297564,27200.45948493317
10000,1,50,0.6136416670051403,16296.155456334474,1.0,0.9483058210251955,0.03741458468721248,26727.54511001639
10000,1,100,0.6136416670051403,16296.155456334474,1.0,0.9468753444285242,0.037474340529297476,26684.92589531226
10000,4,1,0.18864120900980197,53010.68654347095,3.2529566059622472,0.972027972027972,0.038145062842522746,26215.7124797088
10000,4,5,0.18864120900980197,53010.68654347095,3.2529566059622472,0.9754716981132076,0.04235829600656871,23608.126253353654
10000,4,10,0.18864120900980197,53010.68654347095,3.2529566059622472,0.9745417515274949,0.03832604174967855,26091.9196021172
10000,4,20,0.18864120900980197,53010.68654347095,3.2529566059622472,0.9736842105263158,0.03837936182972043,26055.670347952844
10000,4,50,0.18864120900980197,53010.68654347095,3.2529566059622472,0.9784969591659427,0.038597265983116816,25908.570841194276
10000,4,100,0.18864120900980197,53010.68654347095,3.2529566059622472,0.9777361401961865,0.03873486613738351,25816.534293760924
10000,8,1,0.15824983300990425,63191.21991979693,3.8776765531672623,0.9370629370629371,0.050061778156668874,19975.319231979516
10000,8,5,0.15824983300990425,63191.21991979693,3.8776765531672623,0.9547169811320755,0.05092209845315665,19637.83957017997
10000,8,10,0.15824983300990425,63191.21991979693,3.8776765531672623,0.9460285132382892,0.05424336394353304,18435.434812652715
10000,8,20,0.15824983300990425,63191.21991979693,3.8776765531672623,0.9511278195488722,0.049706707656150685,20118.009161209462
10000,8,50,0.15824983300990425,63191.21991979693,3.8776765531672623,0.9526498696785404,0.04995955770136788,20016.19001468102
10000,8,100,0.15824983300990425,63191.21991979693,3.8776765531672623,0.9543701091149565,0.04993376241473015,20026.53018000915
100000,1,1,11.49376837501768,8700.366732407392,1.0,0.8925619834710744,0.09157805204449687,10919.646986093458
100000,1,5,11.49376837501768,8700.366732407392,1.0,0.9072557608074653,0.0870469958463218,11488.047235604343
100000,1,10,11.49376837501768,8700.366732407392,1.0,0.9114423076923077,0.08808914464025293,11352.136566700676
100000,1,20,11.49376837501768,8700.366732407392,1.0,0.915121152271304,0.08537729223317002,11712.716272014646
100000,1,50,11.49376837501768,8700.366732407392,1.0,0.9123106464689567,0.08677087946853135,11524.603716419213
100000,1,100,11.49376837501768,8700.366732407392,1.0,0.9101406062732029,0.0862852899444988,11589.460968876954
100000,4,1,3.6728479999874253,27226.827791496507,3.1293885222195503,0.9834710743801653,0.10573093331186101,9457.970044115926
100000,4,5,3.6728479999874253,27226.827791496507,3.1293885222195503,0.9832412873738335,0.10301798435684759,9707.04296189746
100000,4,10,3.6728479999874253,27226.827791496507,3.1293885222195503,0.9829807692307693,0.10276898659649306,9730.562041312613
100000,4,20,3.6728479999874253,27226.827791496507,3.1293885222195503,0.9828989835733899,0.10831107689882628,9232.666026708452
100000,4,50,3.6728479999874253,27226.827791496507,3.1293885222195503,0.9808367437981264,0.10656234658090398,9384.17773336835
100000,4,100,3.6728479999874253,27226.827791496507,3.1293885222195503,0.9771210305280287,0.0952641876967391,10497.124094348732
100000,8,1,3.033638916007476,32963.71215187614,3.7887727225442,0.9816345270890725,0.08769760868744925,11402.819472124489
100000,8,5,3.033638916007476,32963.71215187614,3.7887727225442,0.9832412873738335,0.08563436460390222,11677.554970197463
100000,8,10,3.033638916007476,32963.71215187614,3.7887727225442,0.9815384615384616,0.08588614071486517,11643.322096866788
100000,8,20,3.033638916007476,32963.71215187614,3.7887727225442,0.9800086709379064,0.08656408853421454,11552.134573735495
100000,8,50,3.033638916007476,32963.71215187614,3.7887727225442,0.9781988866691235,0.09020537345786579,11085.814089191615
100000,8,100,3.033638916007476,32963.71215187614,3.7887727225442,0.9744998879437186,0.09193595738324803,10877.136959931344
500000,1,1,108.20468354100012,4620.872069835533,1.0,0.9425094418799832,0.14170694232161624,7056.817285143398
500000,1,5,108.20468354100012,4620.872069835533,1.0,0.9589357057539437,0.14565222846576945,6865.669070315774
500000,1,10,108.20468354100012,4620.872069835533,1.0,0.9573248407643312,0.14468515637272505,6911.559036670555
500000,1,20,108.20468354100012,4620.872069835533,1.0,0.9508198390874835,0.14519808738550635,6887.14306094792
500000,1,50,108.20468354100012,4620.872069835533,1.0,0.9362125133698572,0.14547668636951128,6873.9536550894245
500000,1,100,108.20468354100012,4620.872069835533,1.0,0.9180066377329589,0.1463424863992259,6833.285565970059
500000,4,1,34.16137987500406,14636.411111889858,3.16745646507604,0.941670163659253,0.14584937187028119,6856.388801519164
500000,4,5,34.16137987500406,14636.411111889858,3.16745646507604,0.9546521685407142,0.1496151718252804,6683.8141332871855
500000,4,10,34.16137987500406,14636.411111889858,3.16745646507604,0.9533182658722006,0.15118678832950536,6614.334566195965
500000,4,20,34.16137987500406,14636.411111889858,3.16745646507604,0.9479885935431307,0.14986700544250198,6672.582781295782
500000,4,50,34.16137987500406,14636.411111889858,3.16745646507604,0.9335997779174865,0.1513658129493706,6606.5116059891525
500000,4,100,34.16137987500406,14636.411111889858,3.16745646507604,0.9161031401582844,0.15051659990276678,6643.785473801539
500000,8,1,27.208534042001702,18376.587258547337,3.9768656177493797,0.9477549307595468,0.14462912748858797,6914.236553621644
