size,threads,ef_search,build_time_s,build_qps,speedup,recall,query_latency_ms,query_qps
10000,1,10,0.7089329580194317,14105.706169927993,1.0,0.8869653767820774,0.0082036359293852,121897.1695730703
10000,1,20,0.7089329580194317,14105.706169927993,1.0,0.9327902240325866,0.013075493212090806,76478.95064297138
10000,1,50,0.7089329580194317,14105.706169927993,1.0,0.9511201629327902,0.025235930818598717,39626.039839315396
10000,1,100,0.7089329580194317,14105.706169927993,1.0,0.9531568228105907,0.042022249905858185,23796.917162700352
10000,1,200,0.7089329580194317,14105.706169927993,1.0,0.955193482688391,0.07282483106246218,13731.580086224925
10000,1,500,0.7089329580194317,14105.706169927993,1.0,0.955193482688391,0.1557075312361121,6422.29693105607
10000,4,10,0.23396620800485834,42741.215003973346,3.030065598211134,0.5427698574338086,0.010104214737657456,98968.60131773468
10000,4,20,0.23396620800485834,42741.215003973346,3.030065598211134,0.5926680244399185,0.0160520262317732,62297.43121280299
10000,4,50,0.23396620800485834,42741.215003973346,3.030065598211134,0.6843177189409368,0.0321249388565775,31128.463915978864
10000,4,100,0.23396620800485834,42741.215003973346,3.030065598211134,0.774949083503055,0.05625735460198484,17775.453664234657
10000,4,200,0.23396620800485834,42741.215003973346,3.030065598211134,0.8818737270875764,0.1013299611862749,9868.749462577014
10000,4,500,0.23396620800485834,42741.215003973346,3.030065598211134,0.9572301425661914,0.2072956190095283,4824.028625293982
10000,8,10,0.18189562496263534,54976.58342279635,3.897471190772507,0.7443991853360489,0.009360752440989018,106829.01896018353
10000,8,20,0.18189562496263534,54976.58342279635,3.897471190772507,0.8126272912423625,0.014957484701881185,66856.16064004606
10000,8,50,0.18189562496263534,54976.58342279635,3.897471190772507,0.8879837067209776,0.02964940838282928,33727.48579290794
10000,8,100,0.18189562496263534,54976.58342279635,3.897471190772507,0.9256619144602851,0.05047308363718912,19812.540228138332
10000,8,200,0.18189562496263534,54976.58342279635,3.897471190772507,0.9623217922606925,0.08812043139478191,11348.106042740224
10000,8,500,0.18189562496263534,54976.58342279635,3.897471190772507,0.9806517311608961,0.18055896467994897,5538.356967058139
100000,1,10,12.386263000022154,8073.460090409927,1.0,0.7634615384615384,0.015227545611560344,65670.46492645715
100000,1,20,12.386263000022154,8073.460090409927,1.0,0.8409615384615384,0.023826379841193557,41970.28699555501
100000,1,50,12.386263000022154,8073.460090409927,1.0,0.8934615384615384,0.047622889367630705,20998.30592554723
100000,1,100,12.386263000022154,8073.460090409927,1.0,0.9114423076923077,0.08572857667459174,11664.721832438636
100000,1,200,12.386263000022154,8073.460090409927,1.0,0.9179807692307692,0.15385429853922689,6499.655904934231
100000,1,500,12.386263000022154,8073.460090409927,1.0,0.9206730769230769,0.34970740606659095,2859.5333774818055
100000,4,10,3.698853333014995,27035.405569457493,3.348676436955642,0.8160576923076923,0.015381599561078473,65012.744352700174
100000,4,20,3.698853333014995,27035.405569457493,3.348676436955642,0.8993269230769231,0.024568450619699436,40702.60740000355
100000,4,50,3.698853333014995,27035.405569457493,3.348676436955642,0.9619230769230769,0.04994258040096611,20022.994246021288
100000,4,100,3.698853333014995,27035.405569457493,3.348676436955642,0.9829807692307693,0.08849728801869787,11299.781297125377
100000,4,200,3.698853333014995,27035.405569457493,3.348676436955642,0.990576923076923,0.15910556805320084,6285.1351604842985
100000,4,500,3.698853333014995,27035.405569457493,3.348676436955642,0.9945192307692308,0.36042777718394065,2774.4809454285214
100000,8,10,3.08372162503656,32428.348651222503,4.0166605505045565,0.8091346153846154,0.01591845325892791,62820.17377782273
